Message,Microsoft-Windows-Sysmon,EventID,Version,Level,Task,Opcode,Keywords,TimeCreated,EventRecordID,Correlation,Execution,Channel,Computer,Security,RuleName,UtcTime,SourceProcessGUID,SourceProcessId,SourceThreadId,SourceImage,TargetProcessGUID,TargetProcessId,TargetImage,GrantedAccess,CallTrace,ProcessGuid,ProcessId,Image,TargetFilename,CreationUtcTime,FileVersion,Description,Product,Company,CommandLine,CurrentDirectory,User,LogonGuid,LogonId,TerminalSessionId,IntegrityLevel,Hashes,ParentProcessGuid,ParentProcessId,ParentImage,ParentCommandLine,Configuration,ConfigurationFileHash,
Process accessed:,,10,3,4,10,0,0x8000000000000000,8/5/2018 3:00:12 AM,13984,,,Microsoft-Windows-Sysmon/Operational,WinDev1806Eval,,,2018-08-05 10:00:11.988,{800A29D4-CAAA-5B66-0000-001028E13601},2728,6164,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,{800A29D4-70B3-5B66-0000-001018382600},9028,C:\ProgramData\Microsoft\Windows Defender\platform\4.18.1807.18075-0\MsMpEng.exe,0x100000,C:\Windows\SYSTEM32\ntdll.dll+9a374|C:\Windows\System32\KERNELBASE.dll+2fd5d|C:\ProgramData\Microsoft\Windows Defender\platform\4.18.1807.18075-0\MPCLIENT.DLL+2913c|C:\ProgramData\Microsoft\Windows Defender\platform\4.18.1807.18075-0\MPCLIENT.DLL+29096|C:\ProgramData\Microsoft\Windows Defender\platform\4.18.1807.18075-0\MPCLIENT.DLL+28b25|C:\ProgramData\Microsoft\Windows Defender\platform\4.18.1807.18075-0\MPCLIENT.DLL+1cd2d|C:\ProgramData\Microsoft\Windows Defender\platform\4.18.1807.18075-0\MPCLIENT.DLL+1ee16|C:\ProgramData\Microsoft\Windows Defender\platform\4.18.1807.18075-0\MpOav.dll+315c|C:\Windows\SYSTEM32\amsi.dll+4c13|C:\Windows\SYSTEM32\amsi.dll+24f3|UNKNOWN(00007FFA156323C5),,,,,,,,,,,,,,,,,,,,,,,,
File created:,,11,2,4,11,0,0x8000000000000000,8/5/2018 3:00:11 AM,13983,,,Microsoft-Windows-Sysmon/Operational,WinDev1806Eval,,,2018-08-05 10:00:11.890,,,,,,,,,,{800A29D4-CAAA-5B66-0000-001028E13601},2728,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,C:\Users\User\AppData\Local\Temp\__PSScriptPolicyTest_2wdg0uuc.aja.ps1,2018-08-05 10:00:11.890,,,,,,,,,,,,,,,,,,,
Process accessed:,,10,3,4,10,0,0x8000000000000000,8/5/2018 3:00:10 AM,13982,,,Microsoft-Windows-Sysmon/Operational,WinDev1806Eval,,,2018-08-05 10:00:10.219,{800A29D4-70B3-5B66-0000-001018382600},9028,1460,C:\ProgramData\Microsoft\Windows Defender\platform\4.18.1807.18075-0\MsMpEng.exe,{800A29D4-CAAA-5B66-0000-001028E13601},2728,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,0x1fffff,C:\Windows\SYSTEM32\ntdll.dll+9a374|C:\Windows\System32\KERNELBASE.dll+2fd5d|C:\ProgramData\Microsoft\Windows Defender\Definition Updates\{9F70D872-FD17-495D-9B3E-B31649F6533D}\mpengine.dll+1639b5|C:\ProgramData\Microsoft\Windows Defender\Definition Updates\{9F70D872-FD17-495D-9B3E-B31649F6533D}\mpengine.dll+502427|C:\ProgramData\Microsoft\Windows Defender\Definition Updates\{9F70D872-FD17-495D-9B3E-B31649F6533D}\mpengine.dll+5361b9|C:\ProgramData\Microsoft\Windows Defender\Definition Updates\{9F70D872-FD17-495D-9B3E-B31649F6533D}\mpengine.dll+530ea8|C:\ProgramData\Microsoft\Windows Defender\Definition Updates\{9F70D872-FD17-495D-9B3E-B31649F6533D}\mpengine.dll+5316b6|C:\ProgramData\Microsoft\Windows Defender\Definition Updates\{9F70D872-FD17-495D-9B3E-B31649F6533D}\mpengine.dll+51ad3a|C:\ProgramData\Microsoft\Windows Defender\Definition Updates\{9F70D872-FD17-495D-9B3E-B31649F6533D}\mpengine.dll+de22|C:\ProgramData\Microsoft\Windows Defender\Definition Updates\{9F70D872-FD17-495D-9B3E-B31649F6533D}\mpengine.dll+105c2|C:\ProgramData\Microsoft\Windows Defender\Definition Updates\{9F70D872-FD17-495D-9B3E-B31649F6533D}\mpengine.dll+10221|C:\ProgramData\Microsoft\Windows Defender\Definition Updates\{9F70D872-FD17-495D-9B3E-B31649F6533D}\mpengine.dll+100ac|C:\ProgramData\Microsoft\Windows Defender\Definition Updates\{9F70D872-FD17-495D-9B3E-B31649F6533D}\mpengine.dll+13452|C:\ProgramData\Microsoft\Windows Defender\Definition Updates\{9F70D872-FD17-495D-9B3E-B31649F6533D}\mpengine.dll+1542d1|C:\Windows\SYSTEM32\ntdll.dll+2148c|C:\Windows\SYSTEM32\ntdll.dll+1fa19|C:\Windows\System32\KERNEL32.DLL+13034|C:\Windows\SYSTEM32\ntdll.dll+71431,,,,,,,,,,,,,,,,,,,,,,,,
Process accessed:,,10,3,4,10,0,0x8000000000000000,8/5/2018 3:00:10 AM,13981,,,Microsoft-Windows-Sysmon/Operational,WinDev1806Eval,,,2018-08-05 10:00:10.219,{800A29D4-70B3-5B66-0000-001018382600},9028,1460,C:\ProgramData\Microsoft\Windows Defender\platform\4.18.1807.18075-0\MsMpEng.exe,{800A29D4-CAAA-5B66-0000-001028E13601},2728,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,0x1fffff,C:\Windows\SYSTEM32\ntdll.dll+9a374|C:\Windows\System32\KERNELBASE.dll+2fd5d|C:\ProgramData\Microsoft\Windows Defender\Definition Updates\{9F70D872-FD17-495D-9B3E-B31649F6533D}\mpengine.dll+1639b5|C:\ProgramData\Microsoft\Windows Defender\Definition Updates\{9F70D872-FD17-495D-9B3E-B31649F6533D}\mpengine.dll+502427|C:\ProgramData\Microsoft\Windows Defender\Definition Updates\{9F70D872-FD17-495D-9B3E-B31649F6533D}\mpengine.dll+5361b9|C:\ProgramData\Microsoft\Windows Defender\Definition Updates\{9F70D872-FD17-495D-9B3E-B31649F6533D}\mpengine.dll+530ea8|C:\ProgramData\Microsoft\Windows Defender\Definition Updates\{9F70D872-FD17-495D-9B3E-B31649F6533D}\mpengine.dll+5316b6|C:\ProgramData\Microsoft\Windows Defender\Definition Updates\{9F70D872-FD17-495D-9B3E-B31649F6533D}\mpengine.dll+51ad3a|C:\ProgramData\Microsoft\Windows Defender\Definition Updates\{9F70D872-FD17-495D-9B3E-B31649F6533D}\mpengine.dll+de22|C:\ProgramData\Microsoft\Windows Defender\Definition Updates\{9F70D872-FD17-495D-9B3E-B31649F6533D}\mpengine.dll+105c2|C:\ProgramData\Microsoft\Windows Defender\Definition Updates\{9F70D872-FD17-495D-9B3E-B31649F6533D}\mpengine.dll+10221|C:\ProgramData\Microsoft\Windows Defender\Definition Updates\{9F70D872-FD17-495D-9B3E-B31649F6533D}\mpengine.dll+100ac|C:\ProgramData\Microsoft\Windows Defender\Definition Updates\{9F70D872-FD17-495D-9B3E-B31649F6533D}\mpengine.dll+13452|C:\ProgramData\Microsoft\Windows Defender\Definition Updates\{9F70D872-FD17-495D-9B3E-B31649F6533D}\mpengine.dll+1542d1|C:\Windows\SYSTEM32\ntdll.dll+2148c|C:\Windows\SYSTEM32\ntdll.dll+1fa19|C:\Windows\System32\KERNEL32.DLL+13034|C:\Windows\SYSTEM32\ntdll.dll+71431,,,,,,,,,,,,,,,,,,,,,,,,
Process accessed:,,10,3,4,10,0,0x8000000000000000,8/5/2018 3:00:10 AM,13980,,,Microsoft-Windows-Sysmon/Operational,WinDev1806Eval,,,2018-08-05 10:00:10.195,{800A29D4-7500-5B66-0000-0010F7216600},4752,3848,C:\Windows\system32\conhost.exe,{800A29D4-CAAA-5B66-0000-001028E13601},2728,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,0x1fffff,C:\Windows\SYSTEM32\ntdll.dll+9a374|C:\Windows\System32\KERNELBASE.dll+2fd5d|C:\Windows\system32\conhost.exe+6a5a|C:\Windows\system32\conhost.exe+63f7|C:\Windows\system32\conhost.exe+738e|C:\Windows\system32\conhost.exe+a73f|C:\Windows\System32\KERNEL32.DLL+13034|C:\Windows\SYSTEM32\ntdll.dll+71431,,,,,,,,,,,,,,,,,,,,,,,,
Process accessed:,,10,3,4,10,0,0x8000000000000000,8/5/2018 3:00:10 AM,13979,,,Microsoft-Windows-Sysmon/Operational,WinDev1806Eval,,,2018-08-05 10:00:10.195,{800A29D4-70B3-5B66-0000-001018382600},9028,1460,C:\ProgramData\Microsoft\Windows Defender\platform\4.18.1807.18075-0\MsMpEng.exe,{800A29D4-CAAA-5B66-0000-001028E13601},2728,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,0x1fffff,C:\Windows\SYSTEM32\ntdll.dll+9a374|C:\Windows\System32\KERNELBASE.dll+2fd5d|C:\ProgramData\Microsoft\Windows Defender\Definition Updates\{9F70D872-FD17-495D-9B3E-B31649F6533D}\mpengine.dll+1639b5|C:\ProgramData\Microsoft\Windows Defender\Definition Updates\{9F70D872-FD17-495D-9B3E-B31649F6533D}\mpengine.dll+375d61|C:\ProgramData\Microsoft\Windows Defender\Definition Updates\{9F70D872-FD17-495D-9B3E-B31649F6533D}\mpengine.dll+11c2b|C:\ProgramData\Microsoft\Windows Defender\Definition Updates\{9F70D872-FD17-495D-9B3E-B31649F6533D}\mpengine.dll+11381|C:\ProgramData\Microsoft\Windows Defender\Definition Updates\{9F70D872-FD17-495D-9B3E-B31649F6533D}\mpengine.dll+1278a|C:\ProgramData\Microsoft\Windows Defender\Definition Updates\{9F70D872-FD17-495D-9B3E-B31649F6533D}\mpengine.dll+bb93|C:\ProgramData\Microsoft\Windows Defender\Definition Updates\{9F70D872-FD17-495D-9B3E-B31649F6533D}\mpengine.dll+b962|C:\ProgramData\Microsoft\Windows Defender\Definition Updates\{9F70D872-FD17-495D-9B3E-B31649F6533D}\mpengine.dll+c224|C:\ProgramData\Microsoft\Windows Defender\Definition Updates\{9F70D872-FD17-495D-9B3E-B31649F6533D}\mpengine.dll+9dec|C:\ProgramData\Microsoft\Windows Defender\Definition Updates\{9F70D872-FD17-495D-9B3E-B31649F6533D}\mpengine.dll+9ecf|C:\ProgramData\Microsoft\Windows Defender\Definition Updates\{9F70D872-FD17-495D-9B3E-B31649F6533D}\mpengine.dll+2572c|C:\ProgramData\Microsoft\Windows Defender\Definition Updates\{9F70D872-FD17-495D-9B3E-B31649F6533D}\mpengine.dll+24c4d|C:\ProgramData\Microsoft\Windows Defender\Definition Updates\{9F70D872-FD17-495D-9B3E-B31649F6533D}\mpengine.dll+97a6|C:\ProgramData\Microsoft\Windows Defender\Definition Updates\{9F70D872-FD17-495D-9B3E-B31649F6533D}\mpengine.dll+2545a|C:\ProgramData\Microsoft\Windows Defender\Definition Updates\{9F70D872-FD17-495D-9B3E-B31649F6533D}\mpengine.dll+71707|C:\ProgramData\Microsoft\Windows Defender\Definition Updates\{9F70D872-FD17-495D-9B3E-B31649F6533D}\mpengine.dll+ace8d|C:\ProgramData\Microsoft\Windows Defender\Definition Updates\{9F70D872-FD17-495D-9B3E-B31649F6533D}\mpengine.dll+acae6|C:\ProgramData\Microsoft\Windows Defender\platform\4.18.1807.18075-0\mpsvc.dll+30b74|C:\ProgramData\Microsoft\Windows Defender\platform\4.18.1807.18075-0\mprtp.dll+7a66|C:\ProgramData\Microsoft\Windows Defender\platform\4.18.1807.18075-0\mpclient.dll+282d1|C:\Windows\SYSTEM32\ntdll.dll+2148c|C:\Windows\SYSTEM32\ntdll.dll+1fa19,,,,,,,,,,,,,,,,,,,,,,,,
Process accessed:,,10,3,4,10,0,0x8000000000000000,8/5/2018 3:00:10 AM,13978,,,Microsoft-Windows-Sysmon/Operational,WinDev1806Eval,,,2018-08-05 10:00:10.195,{800A29D4-8B72-5B66-0000-001036640000},480,588,C:\Windows\system32\csrss.exe,{800A29D4-CAAA-5B66-0000-001028E13601},2728,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,0x1fffff,C:\Windows\SYSTEM32\ntdll.dll+9a374|C:\Windows\system32\basesrv.DLL+2e9a|C:\Windows\SYSTEM32\CSRSRV.dll+5aa6|C:\Windows\SYSTEM32\ntdll.dll+7143f,,,,,,,,,,,,,,,,,,,,,,,,
Process accessed:,,10,3,4,10,0,0x8000000000000000,8/5/2018 3:00:10 AM,13977,,,Microsoft-Windows-Sysmon/Operational,WinDev1806Eval,,,2018-08-05 10:00:10.195,{800A29D4-7500-5B66-0000-00100B216600},7196,1220,C:\Windows\system32\cmd.exe,{800A29D4-CAAA-5B66-0000-001028E13601},2728,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,0x1fffff,C:\Windows\SYSTEM32\ntdll.dll+9b6e4|C:\Windows\System32\KERNELBASE.dll+3b602|C:\Windows\System32\KERNELBASE.dll+68966|C:\Windows\System32\KERNEL32.DLL+1a103|C:\Windows\system32\cmd.exe+b648|C:\Windows\system32\cmd.exe+1422b|C:\Windows\system32\cmd.exe+103ce|C:\Windows\system32\cmd.exe+10765|C:\Windows\system32\cmd.exe+1d29b|C:\Windows\system32\cmd.exe+17309|C:\Windows\System32\KERNEL32.DLL+13034|C:\Windows\SYSTEM32\ntdll.dll+71431,,,,,,,,,,,,,,,,,,,,,,,,
Process Create:,,1,5,4,1,0,0x8000000000000000,8/5/2018 3:00:10 AM,13976,,,Microsoft-Windows-Sysmon/Operational,WinDev1806Eval,,,2018-08-05 10:00:10.208,,,,,,,,,,{800A29D4-CAAA-5B66-0000-001028E13601},2728,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,,,10.0.17134.1 (WinBuild.160101.0800),Windows PowerShell,Microsoft® Windows® Operating System,Microsoft Corporation,powershell,C:\Users\User\Desktop\,WINDEV1806EVAL\User,{800A29D4-6F8A-5B66-0000-002083C90600},0x6c983,1,High,MD5=95000560239032BC68B4C2FDFCDEF913,SHA256=D3F8FADE829D2B7BD596C4504A6DAE5C034E789B6A3DEFBE013BDA7D14466677,{800A29D4-7500-5B66-0000-00100B216600},7196,C:\Windows\System32\cmd.exe,"C:\Windows\system32\cmd.exe" ,,,
Process accessed:,,10,3,4,10,0,0x8000000000000000,8/5/2018 3:00:10 AM,13975,,,Microsoft-Windows-Sysmon/Operational,WinDev1806Eval,,,2018-08-05 10:00:10.195,{800A29D4-70B3-5B66-0000-001018382600},9028,7140,C:\ProgramData\Microsoft\Windows Defender\platform\4.18.1807.18075-0\MsMpEng.exe,{800A29D4-CAAA-5B66-0000-001028E13601},2728,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,0x1fffff,C:\Windows\SYSTEM32\ntdll.dll+9a374|C:\Windows\System32\KERNELBASE.dll+2fd5d|C:\ProgramData\Microsoft\Windows Defender\Definition Updates\{9F70D872-FD17-495D-9B3E-B31649F6533D}\mpengine.dll+1639b5|C:\ProgramData\Microsoft\Windows Defender\Definition Updates\{9F70D872-FD17-495D-9B3E-B31649F6533D}\mpengine.dll+375d61|C:\ProgramData\Microsoft\Windows Defender\Definition Updates\{9F70D872-FD17-495D-9B3E-B31649F6533D}\mpengine.dll+66d6|C:\ProgramData\Microsoft\Windows Defender\Definition Updates\{9F70D872-FD17-495D-9B3E-B31649F6533D}\mpengine.dll+6a0f|C:\ProgramData\Microsoft\Windows Defender\Definition Updates\{9F70D872-FD17-495D-9B3E-B31649F6533D}\mpengine.dll+72360|C:\ProgramData\Microsoft\Windows Defender\Definition Updates\{9F70D872-FD17-495D-9B3E-B31649F6533D}\mpengine.dll+ace8d|C:\ProgramData\Microsoft\Windows Defender\Definition Updates\{9F70D872-FD17-495D-9B3E-B31649F6533D}\mpengine.dll+acae6|C:\ProgramData\Microsoft\Windows Defender\platform\4.18.1807.18075-0\mpsvc.dll+30b74|C:\ProgramData\Microsoft\Windows Defender\platform\4.18.1807.18075-0\mprtp.dll+218f|C:\ProgramData\Microsoft\Windows Defender\platform\4.18.1807.18075-0\mprtp.dll+2062|C:\ProgramData\Microsoft\Windows Defender\platform\4.18.1807.18075-0\mprtp.dll+abc7|C:\ProgramData\Microsoft\Windows Defender\platform\4.18.1807.18075-0\mprtp.dll+18d87|C:\ProgramData\Microsoft\Windows Defender\platform\4.18.1807.18075-0\mprtp.dll+1843c|C:\Windows\System32\msvcrt.dll+3aa96|C:\Windows\System32\msvcrt.dll+3ab6c|C:\Windows\System32\KERNEL32.DLL+13034|C:\Windows\SYSTEM32\ntdll.dll+71431,,,,,,,,,,,,,,,,,,,,,,,,
